25-02-09--23-52-53

nb_nodes=20
bsz=512
dim_emb=128
dim_ff=512
dim_input_nodes=2
nb_layers_encoder=6
nb_layers_decoder=2
nb_heads=8
nb_epochs=150
nb_batch_per_epoch=2500
nb_batch_eval=5
gpu_id=0
lr=0.0001
tol=0.001
batchnorm=True
max_len_PE=1000


Epoch: 0, epoch time: 5.508min, tot time: 0.004day, L_train: 4.134, L_base: 6.226, L_test: 4.125, gap_train(%): -100.000, update: True
Epoch: 1, epoch time: 5.512min, tot time: 0.008day, L_train: 4.004, L_base: 4.138, L_test: 3.999, gap_train(%): -100.000, update: True
Epoch: 2, epoch time: 5.475min, tot time: 0.011day, L_train: 3.966, L_base: 4.006, L_test: 3.961, gap_train(%): -100.000, update: True
Epoch: 3, epoch time: 5.418min, tot time: 0.015day, L_train: 3.950, L_base: 3.969, L_test: 3.939, gap_train(%): -100.000, update: True
Epoch: 4, epoch time: 5.301min, tot time: 0.019day, L_train: 3.941, L_base: 3.949, L_test: 3.935, gap_train(%): -100.000, update: True
Epoch: 5, epoch time: 5.303min, tot time: 0.023day, L_train: 3.940, L_base: 3.947, L_test: 3.926, gap_train(%): -100.000, update: True
Epoch: 6, epoch time: 5.303min, tot time: 0.026day, L_train: 3.928, L_base: 3.930, L_test: 3.923, gap_train(%): -100.000, update: True
Epoch: 7, epoch time: 5.301min, tot time: 0.030day, L_train: 3.918, L_base: 3.920, L_test: 3.921, gap_train(%): -100.000, update: True
Epoch: 8, epoch time: 5.336min, tot time: 0.034day, L_train: 3.913, L_base: 3.918, L_test: 3.917, gap_train(%): -100.000, update: True
Epoch: 9, epoch time: 5.475min, tot time: 0.037day, L_train: 3.920, L_base: 3.923, L_test: 3.917, gap_train(%): -100.000, update: True
Epoch: 10, epoch time: 5.473min, tot time: 0.041day, L_train: 3.911, L_base: 3.912, L_test: 3.919, gap_train(%): -100.000, update: True
